Timestamp,Type,X,Y,Z
1767300414296,ACC,-5.755661,-1.7501614,8.034941
1767300414296,ACC,-5.7365074,-1.7190368,7.991845
1767300414300,ACC,-5.770026,-1.6903064,7.989451
1767300414301,ACC,-5.741296,-1.6424223,7.9822683
1767300414302,ACC,-5.7508726,-1.6807296,7.955932
1767300414302,ACC,-5.734113,-1.7908629,8.020576
1767300414302,ACC,-5.6790466,-1.7884687,8.061277
1767300414302,ACC,-5.659893,-1.7381904,8.034941
1767300414303,ACC,-5.6670756,-1.7812861,8.061277
1767300414303,ACC,-5.650316,-1.7142484,7.941567
1767300414303,ACC,-5.645528,-1.7429788,7.8649526
1767300414304,ACC,-5.6407394,-1.7381904,7.9750857
1767300414304,ACC,-5.6790466,-1.7717092,8.078036
1767300414304,ACC,-5.705383,-1.8531121,8.1642275
1767300414304,ACC,-5.7508726,-1.8650831,8.133103
1767300414305,ACC,-5.6790466,-1.7501614,8.078036
1767300414305,ACC,-5.793968,-1.6998832,8.109161
1767300414314,ACC,-5.813122,-1.5682021,8.070854
1767300414315,ACC,-5.8203044,-1.6017209,7.9487495
1767300414315,ACC,-5.731719,-1.5945383,7.9583263
1767300414316,ACC,-5.7628436,-1.5849615,7.9367785
1767300414316,ACC,-5.777209,-1.4197617,7.955932
1767300414316,ACC,-5.7484784,-1.460463,7.967903
1767300414317,ACC,-5.683835,-1.6065093,7.8888946
1767300414326,ACC,-5.683835,-1.5753847,7.860164
1767300414341,ACC,-5.6215854,-1.553837,7.9846625
1767300414359,ACC,-5.779603,-1.6663644,7.9990277
1767300414379,ACC,-5.734113,-1.6376339,8.082825
1767300414399,ACC,-5.7508726,-1.5993267,8.018182
1767300414419,ACC,-5.7029886,-1.5849615,8.094796
1767300414439,ACC,-5.693412,-1.6567876,8.1642275
1767300414459,ACC,-5.7484784,-1.6089035,8.176199
1767300414480,ACC,-5.6335564,-1.5849615,8.101978
1767300414500,ACC,-5.6790466,-1.5705963,7.979874
1767300414519,ACC,-5.6096144,-1.5801731,8.039729
1767300414540,ACC,-5.674258,-1.6041151,7.97748
1767300414559,ACC,-5.74369,-1.6112977,8.12592
1767300414583,ACC,-5.6407394,-1.6280571,7.929596
1767300414600,ACC,-5.7149596,-1.5131354,7.9846625
1767300414620,ACC,-5.6527104,-1.5490485,7.9343843
1767300414644,ACC,-5.657499,-1.5897499,8.032547
1767300414660,ACC,-5.7149596,-1.6112977,8.015787
1767300414683,ACC,-5.614403,-1.4867992,8.09719
1767300414700,ACC,-5.662287,-1.5610195,8.099585
1767300414720,ACC,-5.6886234,-1.5969325,8.054094
1767300414742,ACC,-5.746084,-1.6543933,8.11395
1767300414760,ACC,-5.559336,-1.6304513,8.027759
1767300414780,ACC,-5.626374,-1.6543933,8.070854
1767300414781,HR,58.0,0.0,0.0
1767300414802,ACC,-5.7029886,-1.6496049,8.104373
1767300414820,ACC,-5.580884,-1.6041151,8.051701
