Tag,Timestamp,Result,Details
INFERENCE_LOG,1769976974756,WAKE,0.0,1.0291735E-6,0.9831921,2.9544647,-1.0743494,0.0
INFERENCE_LOG,1769977004822,WAKE,0.0,0.81008506,0.8061735,1.9050841,-0.4528257,0.70710677
INFERENCE_LOG,1769977034876,WAKE,0.0,0.9877648,0.07417042,1.075058,0.8412368,-1.0766888
INFERENCE_LOG,1769977064930,WAKE,0.0,0.5496943,0.105979525,0.83968043,0.3791142,-0.72498435
INFERENCE_LOG,1769977094972,WAKE,0.0,0.50639457,0.1004832,0.67052096,0.33857995,-0.66236717
INFERENCE_LOG,1769977125026,WAKE,0.0,0.45735067,0.21958253,0.92028296,0.21111012,-0.32843685
INFERENCE_LOG,1769977155072,LIGHT,0.0,0.5244256,0.15418415,0.7642008,0.3301251,-0.5303788
INFERENCE_LOG,1769977185122,WAKE,0.0,0.08916042,0.42613935,0.4672424,-0.7784612,0.9314205
INFERENCE_LOG,1769977215172,WAKE,0.0,-0.66339344,0.31940576,-0.11077301,-1.1846913,1.3312687
INFERENCE_LOG,1769977245214,WAKE,0.0,-0.17672202,0.11497655,-0.026014097,-0.5205245,-0.00912908
INFERENCE_LOG,1769977275258,WAKE,0.0,-0.68841434,0.4835278,0.043436226,-1.3153743,0.84986234
INFERENCE_LOG,1769977305294,WAKE,0.0,-0.22382782,0.32603857,0.2883868,-0.89935726,-0.018491322
INFERENCE_LOG,1769977335318,WAKE,0.0,-0.38275307,0.24963297,0.25334248,-0.8962278,1.2236903
INFERENCE_LOG,1769977365343,WAKE,0.0,-0.59771425,0.8849665,0.2981309,-2.138162,1.4752909
INFERENCE_LOG,1769977395368,WAKE,0.0,-2.1163185,0.17647533,-1.7300793,-2.3126748,1.5933708
INFERENCE_LOG,1769977425407,WAKE,0.0,-1.2814093,0.23439978,-0.9666771,-1.7220343,1.8064427
INFERENCE_LOG,1769977455445,WAKE,0.0,-1.2885464,0.26185262,-0.8596768,-1.717416,0.7325771
INFERENCE_LOG,1769977485475,WAKE,0.0,-1.5432802,0.1473146,-1.1948953,-1.7787807,0.85200816
INFERENCE_LOG,1769977515504,WAKE,0.0,-1.4994197,0.07338802,-1.3442518,-1.6246758,1.7931361
INFERENCE_LOG,1769977545533,WAKE,0.0,-1.3791476,0.17489378,-1.0701766,-1.6699439,1.0189284
INFERENCE_LOG,1769977575562,WAKE,0.0,-1.4409372,0.07841528,-1.2823344,-1.59954,0.63967997
INFERENCE_LOG,1769977605587,WAKE,0.0,-1.048676,0.22667764,-0.64709896,-1.3310075,0.23397636
INFERENCE_LOG,1769977635610,LIGHT,0.0,-1.1564218,0.25032067,-0.63939345,-1.4201409,0.737283
INFERENCE_LOG,1769977665623,WAKE,0.0,-1.1601768,0.14301892,-0.94361305,-1.3561152,0.89765066
INFERENCE_LOG,1769977695643,WAKE,0.0,-1.1455631,0.10439972,-0.990402,-1.3996181,2.4172146
INFERENCE_LOG,1769977725665,WAKE,0.0,-0.8956498,0.15412138,-0.6494201,-1.0598029,1.246216
INFERENCE_LOG,1769977755682,WAKE,0.0,-0.8666109,0.20778856,-0.41360974,-1.1857709,1.2196542
INFERENCE_LOG,1769977785710,WAKE,0.0,-1.0567892,0.16294248,-0.83449155,-1.2448871,0.66480345
INFERENCE_LOG,1769977815729,WAKE,0.0,-1.0800018,0.15009402,-0.8433032,-1.3030775,0.3540366
INFERENCE_LOG,1769977845752,WAKE,0.0,-1.0856943,0.03642158,-1.0059671,-1.1586362,-0.2123216
INFERENCE_LOG,1769977875774,WAKE,0.0,-0.8083682,0.1462768,-0.67708844,-1.0862721,-0.1087274
INFERENCE_LOG,1769977905793,WAKE,0.0,-0.3350196,0.18869686,0.050381742,-0.7273339,1.0288558
